APS                                               # APS systemselectronic
Zhongxing                                         # Zhongxing Telecom
Ally                                              # Digital Ally
Transaction                                       # Transaction Network
LVL                                               # LVL Systems
MyCasa                                            # MyCasa Network
Luxcom                                            # Luxcom Technologies
Azuray                                            # Azuray Technologies
Vocera                                            # Vocera Communications
StreamScale                                       # StreamScale Limited
Hitech                                            # Hitech Electronics
Avici                                             # Avici Systems
Hermes                                            # Hermes Electronics
Interay                                           # Interay Solutions
Nanowave                                          # Nanowave Technologies
Cradle                                            # Cradle Technologies
JPS                                               # JPS Communications
Systech                                           # Systech Computer
Core                                              # Core Communications
Hawa                                              # Hawa Technologies
Merrimac                                          # Merrimac Systems
Nbase                                             # Nbase Communications
Primagraphics                                     # Primagraphics Limited
Rantic                                            # Rantic Labs
Glonet                                            # Glonet Systems
CyberPower                                        # CyberPower Systems
Explora                                           # Explora Technologies
Yoshiki                                           # Yoshiki Industrial
Ventilation                                       # Ventilation Control
PDH                                               # PDH Solutions
Amherst                                           # Amherst Systems
BioRad                                            # BioRad Laboratories
Linea                                             # Linea Research
Carma                                             # Carma Industries
Cheerstar                                         # Cheerstar Technology
Zongmu                                            # Zongmu Technology
Ingate                                            # Ingate Systems
Infinite                                          # Infinite Electronics
Bultech                                           # Shenzhen Bultech
ZHS                                               # ZHS Zeitmanagementsysteme
Voxtech                                           # Shenzhen Voxtech
QiiQ                                              # QiiQ Communications
JStream                                           # JStream Technologies
TollBridge                                        # TollBridge Technologies
CAI                                               # CAI Networks
Sync                                              # Sync Research
Chipsip                                           # Chipsip Technology
ECM                                               # ECM Systems
Welkin                                            # Welkin Sciences
NeoMedia                                          # NeoMedia Europe
VineSys                                           # VineSys Technology
Qvis                                              # Qvis Labs
Idaho                                             # Idaho Technology
NCI                                               # NCI System
Kyland                                            # Kyland Technology
Performance                                       # Performance Telecom
Hitron                                            # Hitron Technology
Spawn                                             # Spawn Labs
u10                                               # u10 Networks
Yano                                              # Yano Electric
Homewins                                          # Homewins Technology
Linktop                                           # Linktop Technology
Mimosa                                            # Mimosa Networks
Meteor                                            # Meteor Communications
Delta                                             # Delta Networks
Contemporary                                      # Contemporary Control
Holdings                                          # AgLogica Holdings
Blueone                                           # Blueone Technology
Cypress                                           # Cypress Technology
Ridge                                             # Ridge Computers
Enzytek                                           # Enzytek Technology
Woori                                             # Woori Systems
Prisa                                             # Prisa Networks
Ajoho                                             # Ajoho Enterprise
Talks                                             # System Talks
WalkAbout                                         # WalkAbout Computers
Fulcrum                                           # Fulcrum Microsystems
Elgato                                            # Elgato Systems
Hasegawa                                          # Hasegawa Electric
Netzin                                            # Netzin Technology
Exterity                                          # Exterity Limited
Voxpath                                           # Voxpath Networks
Ison                                              # Ison Technology
Aitech                                            # Aitech Systems
Tokyo                                             # University Tokyo
Aurora                                            # Aurora Networks
Gerp                                              # Gerp Solution
Centigram                                         # Centigram Communications
Cabletime                                         # Cabletime Limited
Inara                                             # Inara Networks
Tranwo                                            # Tranwo Technology
Extron                                            # Extron Electronics
JinQianMao                                        # JinQianMao Technology
Dtacq                                             # Dtacq Solutions
Tvcom                                             # Tvcom International
Phantom                                           # Phantom Technologies
Hammerhead                                        # Hammerhead Systems
Muco                                              # Muco Industrie
Technik                                           # Peaksystem Technik
Shaw                                              # Shaw Research
Paralon                                           # Paralon Technologies
Smallbig                                          # Smallbig Technology
ARK                                               # ARK Telecommunications
Merchandising                                     # Merchandising Technologies
Gradient                                          # Gradient Technologies
Intrigue                                          # Intrigue Technologies
Canopus                                           # Canopus Systems
Atcom                                             # Atcom Technologyltd
AireSpider                                        # AireSpider Networks
GreenLine                                         # GreenLine Communications
Qcom                                              # Qcom Technology
Aspect                                            # Aspect Software
BigBand                                           # BigBand Networks
interWAVE                                         # interWAVE Communications
Arrive                                            # Arrive Systems
Humex                                             # Humex Technologies
Microplex                                         # Microplex Systems
Intellambda                                       # Intellambda Systems
Pathlight                                         # Pathlight Technologies
Axpro                                             # Axpro Technology
Xsense                                            # Xsense Technology
Divr                                              # Divr Systems
Cygnet                                            # Cygnet Systems
Maksat                                            # Maksat Technologies
Airo                                              # Airo Wireless
Vine                                              # Vine Telecom
Bison                                             # Bison Electronics
Menicx                                            # Menicx International
Dust                                              # Dust Networks
Shinoh                                            # Shinoh Electronics
Dowslake                                          # Dowslake Microsystems
Trex                                              # Trex Enterprises
Tiqit                                             # Tiqit Computers
SkyPilot                                          # SkyPilot Network
Mewtel                                            # Mewtel Technology
Senient                                           # Senient Systems
Fibrlink                                          # Fibrlink Communications
Phison                                            # Phison Electronics
Helioss                                           # Helioss Communications
Tehuti                                            # Tehuti Networks
Riva                                              # Riva Electronics
Ittim                                             # Ittim Technologies
Instrumentation                                   # Instrumentation Technologies
Holux                                             # Holux Technology
Mace                                              # Mace Group
Bentek                                            # Bentek Systems
Encell                                            # Encell Technology
Azonic                                            # Azonic Technology
Uzushio                                           # Uzushio Electric
Bivio                                             # Bivio Networks
Avio                                              # Avio Digital
Lycium                                            # Lycium Networks
Cermate                                           # Cermate Technologies
SpA                                               # DataLogic SpA
Palmmicro                                         # Palmmicro Communications
Powercom                                          # Shenzhen Powercom
Buwon                                             # Buwon Technology
Invivo                                            # Invivo Research
Doppler                                           # Doppler Labs
